Pizza		
Végétarienne	Tomates fraîches, tapenade d’olives, tomates séchées, oignons rouges, câpres, mozzarella. En sortie de four : salade, avocat, crème de vinaigre balsamique	9
Jambon Mozza	Blancs de volaille, base mozzarella, parmesan,   tomates fraîches. En sortie du four : salade, avocat, crème de vinaigre balsamique, dés de tomates fraîches, câpres, olives noires , sauce Caesar	10
Trois Fromage	Mozzarella, chèvre, gorgonzola, tomates fraîches, sauce tomate	10
Régina	Jambon cuit, champignons de Paris frais, mozzarella, sauce tomate	11
Margherita	Fromage mozzarella, sauce tomate, olives, origan	12
Vésuvio	Chorizo, poivrons frais, oignons rouges, oeuf, mozzarella, sauce tomate	11
Merguez	Merguez boeuf et mouton, oignons rouges,dés de tomates, câpres, oeuf cuit minute, sauce tomate	11
Déssert		
Café gourmand Gaufre	Café, décaféiné ou thé Gaufre ou Moelleux au chocolat, sauce chocolat, chantilly, panna cotta, coulis de framboise	5
Moelleux au chocola	Moelleux au chocolat, amandes grillées, tout juste sorti du four pour les amoureux de chocolat au choix : Sauce chocolat noir & glace Tiramisu ou Coulis de framboise & glace vanille	7
Crousti poire caramélisée	Mini-pizza cuite à la minute, crème d'amandes, poire caramélisée, glace vanille sauce chocolat.	7
Mousse au chocolat	Du chocolat noir fondant allégé aux blancs d’oeufs	6.5
Glaces		
Coupe Antillaise	Rhum-raisin (3 boules), rhum (3 cl)	3
Colonel italien	Citron (3 boules), Grappa Piave (3 cl)	3.2
Fresca coulis de framboise	Sorbets : citron, framboise, fruit de la passion, coulis de framboise	4.5